Name,Label
NOTOPEN,Needed Health Care Not Received Due to - Office Not Open
ISSUECOST,Needed Health Care Not Received Due to - Cost
HOSPITALSTAY,Admitted to Hospital
K6Q15,Special Education Plan
SESCURRSVC,Special Education Plan - Currently
K4Q36,Received Special Services
K4Q38,Received Special Services - Currently
K5Q10,Need a Referral
DECISIONS_R,Health Care Decisions Needed
K5Q21,Arrange Or Coordinate Care Extra Help
TREATCHILD,Doctors Treat Only Children
TREATADULT,Talked About Child Seeing Doctors Who Treat Adults
MEDHISTORY,Receive Summary of Medical History
WRITEPLAN,Doctor Worked with You and Child To Create Written Plan
RECEIVECOPY,Have Access to Plan of Care
HEALTHKNOW,How Child Will Be Insured as an Adult
KEEPINSADULT,How to Obtain/Keep Health Insurance as Child Becomes Adult
CURRCOV,Health Insurance Coverage - Currently Covered (Use CURRINS)
K12Q03,Health Insurance - Current/Former Employer or Union
K12Q04,Health Insurance - Insurance Company
K12Q12,Health Insurance - Government Assistance Plan
TRICARE,Health Insurance - TRICARE
K11Q03R,Health Insurance - Indian Health Service
HCCOVOTH,Health Insurance - Other
K3Q25,Problems Paying for Medical or Health Care
STOPWORK,Past 12 Months - Stopped Working because of Health Status
CUTHOURS,Past 12 Months -Cut Hours because of Health Conditions
AVOIDCHG,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
ONEWORD,Say One Word
TWOWORDS,Use Two Words Together
THREEWORDS,Use Three Words Together
ASKQUESTION,"Ask Questions: Who, What, When, Where"
ASKQUESTION2,"Ask Questions:  Why, How"
TELLSTORY,Tell a Story
UNDERSTAND,Understand 'No'
DIRECTIONS,Follow Verbal Directions
POINT,Point to Things
DIRECTIONS2,Follow Two Step Directions
UNDERSTAND2,"Understand 'In', 'On', 'Under'"
REPEATED,Child Repeated Any Grades
K7Q30,Sports Team or Sports Lessons - Past 12 Months
K7Q31,Clubs or Organizations - Past 12 Months
K7Q32,Organized Activities or Lessons - Past 12 Months
K7Q37,Community Service or Volunteer Work - Past 12 Months
K7Q38,Paid Work or Regular Job - Past 12 Months
BORNUSA,Born in the United States
K8Q35,Someone to Turn To for Emotional Support
K6Q27,Job Change Because Problems with Child Care
K9Q40,Anyone in Household Use Cigarettes
K9Q41,Anyone Smoke Inside of Home
VAPE,Vape/E-Cigarettes inside of Home
K11Q60,Cash Assistance from Government - Past 12 Months
K11Q61,Food Stamps - Past 12 Months
K11Q62,Free or Reduced Cost Meals - Past 12 Months
EBTCARDS,School Meal Debit
S9Q34,WIC Benefits - Past 12 Months
SSI,Receive SSI
SSIDISABILITY,Receive SSI for Disability
K10Q11,Neighborhood - Sidewalks or Walking Paths
K10Q12,Neighborhood - Park or Playground
K10Q13,Neighborhood - Recreation Center
K10Q14,Neighborhood - Library or Bookmobile
K10Q20,Neighborhood - Litter or Garbage
K10Q22,Neighborhood - Poorly Kept or Rundown Housing
K10Q23,Neighborhood - Vandalism
K9Q96,Other Adult Child Can Rely On For Advice
ACE3,Child Experienced - Parent or Guardian Divorced
ACE4,Child Experienced - Parent or Guardian Died
ACE5,Child Experienced - Parent or Guardian Time in Jail
ACE6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
ACE7,Child Experienced - Victim of Violence
ACE8,Child Experienced - Lived with Mentally Ill
ACE9,Child Experienced - Lived with Person with Alcohol/Drug Problem
ACE10,Child Experienced - Treated Unfairly Because of Race
ACE11,Child Experienced - Treated Unfairly Because of Health Condition
VIDEOPHONE,Virtual Health Care Visits
A1_DEPLSTAT,Adult 1 - Deployment Status
A2_DEPLSTAT,Adult 2 - Deployment Status
ALLERGIES_DESC,Allergies Severity Description
K2Q40C,Asthma Severity Description
AUTOIMMUNE_DESC,Autoimmune Disease Description
CERPALS_DESC,Cerebral Palsy Severity Description
DIABETES_DESC,Diabetes Severity Description
K2Q42C,Epilepsy Severity Description
HEART_DESC,Heart Condition Severity Description
HEADACHE_DESC,Headaches Severity Description
K2Q33C,Anxiety Severity Description
K2Q32C,Depression Severity Description
BLOOD_DESC,Blood Disorder Severity Description
CYSTFIB_DESC,Cystic Fibrosis Severity Description
K2Q34C,Behavior Problems Severity Description
K2Q36C,Developmental Delay Severity Description
K2Q60C,Intellectual Disability Severity Description
K2Q37C,Speech Disorder Severity Description
K2Q30C,Learning Disability Severity Description
K2Q35C,Autism ASD Severity Description
K2Q31C,ADD/ADHD Severity Description
ENGAGECONCERN,Concerned over Child's Engagement in Eating Behaviors
BODYIMAGE,Child's concern over body image
BOUNCEABALL,Bounce Ball
DRAWACIRCLE,Draw a Circle
DRAWAFACE,Draw a Face
DRAWAPERSON,Draw a Person
A1_SEX,Adult 1 - Sex
A1_BORN,Adult 1 - Where Born
A1_EMPLOYED_R,Adult 1 - Current Employment Status
A1_GRADE,Adult 1 - Highest Completed Year of School
A1_MARITAL,Adult 1 - Marital Status
A1_RELATION,Adult 1 - How Related to Child
A2_SEX,Adult 2 - Sex
A2_BORN,Adult 2 - Where Born
A2_EMPLOYED_R,Adult 2 - Current Employment Status
A2_GRADE,Adult 2 - Highest Completed Year of School
A2_MARITAL,Adult 2 - Marital Status
A2_RELATION,Adult 2 - How Related to Child
A1_ACTIVE,Adult 1 - Active Duty
A2_ACTIVE,Adult 2 - Active Duty
A1_PHYSHEALTH,Adult 1 - Physical Health
A1_MENTHEALTH,Adult 1 - Mental or Emotional Health
A2_PHYSHEALTH,Adult 2 - Physical Health
A2_MENTHEALTH,Adult 2 - Mental or Emotional Health
K2Q01,General Health
K2Q01_D,Teeth Description
K5Q40,How Often - Spend Enough Time
K5Q41,How Often - Listen Carefully
K5Q42,How Often - Show Sensitivity
K5Q43,How Often - Provide Specific Information
K5Q44,How Often - Feel Like a Partner
DISCUSSOPT,How Often - Provider Discussed Range of Options
RAISECONC,How Often - Easy to Raise Concerns or Disagree
BESTFORCHILD,How Often - Work to Decide Together Treatment
K3Q20,Health Insurance - Benefits Cover Services
K3Q22,Health Insurance - Allow to See Provider
K3Q21B,How Often Costs Reasonable
K6Q70_R,Affectionate
K6Q73_R,Bounces Back
K6Q71_R,Show Interest and Curiosity
K6Q72_R,Smiles Laughs
K7Q84_R,Works to Finish Tasks Started
K7Q85_R,Stays Calm and In Control When Challenged
K7Q82_R,Cares About Doing Well in School
K7Q83_R,Does All Required Homework
K7Q70_R,Argues Too Much
BULLIED_R,"Bullied, Picked On, or Excluded by Others"
BULLY,"Bullies Others, Picks on Them, or Excludes Them"
RECOGBEGIN,Recognize Beginning Sound of a Word
SAMESOUND,Words with Same Start Sound
CLEAREXP,How Often - Explain Things Good Idea
WRITENAME,How Often - Write First Name
FOCUSON,Focus on a Task
READONEDIGIT,Read One Digit
SIMPLEADDITION,Simple Addition
GROUPOFOBJECTS,Group of Objects
NAMEEMOTIONS,Recognize Emotion
STARTNEWACT,How Often - Difficulty End/Starting Activities
TEMPER_R,How Often - Loses Temper
PLAYWELL,How Often - Play Well with Others
DISTRACTED,How Often - Easily Distracted
HURTSAD,How Often - Show Concern
CALMDOWN_R,How Often - Calms Down When Excited
WAITFORTURN,How Often - Waits for Their Turn
HARDWORK,How Often - Work even when hard
SHARETOYS,Share Toys
RECOGABC,Recognize Letters of Alphabet
TALKABOUT,Facing Problems - How Often Talk Together
WKTOSOLVE,Facing Problems - How Often Work Together
STRENGTHS,Facing Problems - How Often Draw on Strengths
HOPEFUL,Facing Problems - How Often Stay Hopeful
K10Q30,People In Neighborhood Help Each Other Out
K10Q31,Watch Out for Other's Children
K10Q40_R,Child is Safe In Neighborhood
GOFORHELP,Know Where to Go For Help
K10Q41_R,Child Is Safe at School
K8Q31,How Often Have You Felt - Child Hard to Care For
K8Q32,How Often Have You Felt - Child Really Bothers You
K8Q34,How Often Have You Felt - Angry with Child
HOWMUCH,How Much Medical Health Care - Past 12 Months
ATHOMEHC,Hours Spent Providing Home Health Care
ARRANGEHC,Hours Spent Arranging Health Medical Care
K7Q02R_R,Days Child Missed School - Illness or Injury
K7Q04R_R,Times School Contacted Household About Problems
PHYSACTIV,"Exercise, Play Sport, or Physical Activity for 60 Minutes"
HOURSLEEP05,Past Week - How Many Hours of Sleep Average
HOURSLEEP,Past Week - How Many Hours of Sleep Average
OUTDOORSWKDAY,Time Spent Playing Outdoors - Weekday
OUTDOORSWKEND,Time Spent Playing Outdoors - Weekend
SCREENTIME,"How Much Time Spent with TV, Cellphone, Computer"
K6Q60_R,How Many Days Read to Child
K6Q61_R,How Many Days Tell Stories or Sing to Child
K8Q11,How Many Days - Family Eat Meal Together
FOODSIT,Food Situation In Household - Past 12 Months
EVALFASD,Evaluation for a Fetal Alcohol Spectrum Disorder Recommended
RECEVALFASD,Received an Evaluation for FASD
POSCHOICE,Doctor Worked with Child to Make Positive Choices
GAINSKILLS,Doctor Worked with Child to Gain Skills to Manage Health
CHANGEAGE,Doctor Worked with Child to Understand Health Care Changes
MISSMORTGAGE,Not Able to Pay Mortgage or Rent
EVERHOMELESS,Homeless or Lived in Shelter
K2Q35D,Autism ASD - First Told Doctor Type
HCABILITY,Health Affected Ability - How Often
HCEXTENT,Health Affected Ability - Extent
K4Q20R,Preventive Visit - How Many Times
DOCROOM,Preventive Visit - How Long with Doctor
WGTCONC,Concerned About Weight
GOWHENSICK,Place Usually Goes Sick - Where
DENTISTVISIT,Preventive Dental Visit - How Many Visits
K4Q22_R,Mental Health Professional Treatment
TREATNEED,Mental Health Professional Treatment - Problem
K4Q24_R,Specialist Visit
K4Q26,Specialist Visit - Problem
C4Q04,Frustrated In Efforts to Get Service
HOSPITALER,Hospital Emergency Room Visits
K4Q04_R,Personal Doctor or Nurse - One or More
K5Q11,Need a Referral - Problem
K5Q20_R,Arrange Or Coordinate Care Among Doctors
K5Q22,Arrange Or Coordinate As Much Help As Wanted
K5Q30,Communication Satisfaction Among Doctors
K5Q32,"Communication Satisfaction with School, Child Care, Special Education Program"
K5Q31_R,"Provider Communication with School, Child Care, Special Education Program"
K8Q21,Share Ideas or Talk About Things That Matter
K8Q30,How Well Handling Demands of Raising Children
COUNTTO_R,Can Count How High
K7Q33,How Often Attend Events or Activities
BEDTIME,How Often - Go to Bed at Same Time
K3Q04_R,Health Insurance Coverage - Past 12 Months (Use INSGAP)
ACE1,Hard to Cover Basics Like Food or Housing
MAKEFRIEND,Difficulty Making or Keeping Friends
STARTSCHOOL,Has Child Started School
SUGARDRINK,How Many Surgary Drinks
VEGETABLES,How Many Vegetables
FRUIT,How Many Fruits
PLANNEEDS_R,Plan Address Transition
RHYMEWORD_R,Rhyme Words
GRADES,Grades Received in School
HOMEEVIC,Worried about Being Evicted
MOVES,Number of Times Child Has Moved
YEAR,Survey Year
CBSAFP_YN,Core Based Statistical Area Status
METRO_YN,Metropolitan Statistical Area Status
MPC_YN,Metropolitan Principal City Status
TOTAGE_0_5,Count of Children Ages 0 to 5 in Household
TOTAGE_6_11,Count of Children Ages 6 to 11 in Household
TOTAGE_12_17,Count of Children Ages 12 to 17 in Household
TOTCSHCN,Count of Children with Special Health Care Needs in Household
TOTNONSHCN,Count of Children without Special Health Care Needs in Household
SC_CSHCN,Special Health Care Needs Status of Selected Child
SC_RACE_R,"Race of Selected Child, Detailed"
SC_HISPANIC_R,"Hispanic Origin of Selected Child, Recode"
SC_ENGLISH,SC  Speaks English
SC_K2Q10,SC Needs or Uses Medication Currently
SC_K2Q11,SC Medication Used or Needed for Health Condition
SC_K2Q12,SC Medication Currently for 12 Months
SC_K2Q13,SC Needs or Uses More Medical Care than Others
SC_K2Q14,SC Medical Care Used or Needed for Health Condition
SC_K2Q15,SC Medical Care Currently for 12 Months
SC_K2Q16,SC Limited Ability
SC_K2Q17,SC Limited Ability from Health Condition
SC_K2Q18,SC Limited Ability from Health Condition for 12 Months
SC_K2Q19,SC Special Therapy
SC_K2Q20,SC Special Therapy for Health Condition
SC_K2Q21,SC Special Therapy for Health Condition for 12 Months
SC_K2Q22,SC Needs Treatment for Emotion Develop Behave
SC_K2Q23,SC Treatment for Chronic Emotion Develop Behave
SC_AGE_LT4,Age of Selected Child - Less than 4 Months
SC_AGE_LT6,Age of Selected Child - Less than 6 Months
SC_AGE_LT9,Age of Selected Child - Less than 9 Months
SC_AGE_LT10,Age of Selected Child - Less than 10 Months
AGEPOS4,Birth Order of Selected Children in Household
TENURE_IF,Imputation Flag for TENURE
TOTMALE,Count of Male Children in Household
TOTFEMALE,Count of Female Children in Household
SC_RACE_R_IF,Imputation Flag for SC_RACE_R
SC_RACER,"Race of Selected Child, Recode"
SC_HISPANIC_R_IF,Imputation Flag for SC_HISPANIC_R
SC_SEX_IF,Imputation Flag for SC_SEX
BIRTHWT_OZ_S,"Standardized Birth Weight, Ounces"
BREASTFEDEND_DAY_S,Stopped Breastfeeding - Days (Standardized)
BREASTFEDEND_WK_S,Stopped Breastfeeding - Weeks (Standardized)
BREASTFEDEND_MO_S,Stopped Breastfeeding - Months (Standardized)
FRSTFORMULA_DAY_S,First Fed Formula - Days (Standardized)
FRSTFORMULA_WK_S,First Fed Formula - Weeks (Standardized)
FRSTFORMULA_MO_S,First Fed Formula - Months (Standardized)
FRSTSOLIDS_DAY_S,First Fed Solids - Days (Standardized)
FRSTSOLIDS_WK_S,First Fed Solids - Days (Standardized)
FRSTSOLIDS_MO_S,First Fed Solids - Days (Standardized)
HOUSE_GEN,Parental Nativity
FAMILY_R,Family Structure
CURRINS,Health Insurance Coverage - Currently Covered
INSGAP,Health Insurance Coverage - Past 12 Months
INSTYPE,Insurance Type (Revised)
